# video = bench_spoto_95x6_2_20260813.mov
# tracker = vtrack
# commit = 5667852
# generated = 2026-08-17T15:34Z
# n_frames = 1038
# lift = bench
# camera_side = right
# fps = 30
# m_per_px = 0.00205085364306
# travel_m = 0.639242174993
# plate_radius_px = 98.7393716197
# sticker_radius_m = 0.2025
t,x,height,score,n_markers,residual_px,m_per_px_t,circumradius_px
14.6,0.0035440671599,0.00366537965027,6,6,1.18777991765,0.00205085364306,98.7393716197
14.6333333333,0.134665766983,0.334670525288,6,6,1.37751161614,0.00205085364306,98.7393716197
14.6666666667,0.137088915652,0.333107703503,7,7,1.91243802268,0.00205085364306,98.7393716197
14.7,0.136943060271,0.333231802247,7,7,1.85229382944,0.00205085364306,98.7393716197
14.7333333333,0.136908340158,0.333232497373,7,7,1.8671582936,0.00205085364306,98.7393716197
14.7666666667,0.136726010718,0.333298372391,7,7,1.78778557125,0.00205085364306,98.7393716197
14.8,0.136727445571,0.333297395929,7,7,1.82723456351,0.00205085364306,98.7393716197
14.8333333333,0.137654719336,0.333581387071,6,6,1.96442021756,0.00205085364306,98.7393716197
14.8666666667,0.136840931141,0.333196454867,7,7,1.87822844228,0.00205085364306,98.7393716197
14.9,0.136769590693,0.333484819619,7,7,1.85667217436,0.00205085364306,98.7393716197
14.9333333333,0.137623460723,0.333521470404,6,6,1.97502233315,0.00205085364306,98.7393716197
14.9666666667,0.140952453616,0.334342562628,7,7,2.33236993039,0.00205085364306,98.7393716197
15,0.140921830155,0.33433860859,7,7,2.3258244306,0.00205085364306,98.7393716197
15.0333333333,0.140906502043,0.334331779164,7,7,2.32446712517,0.00205085364306,98.7393716197
15.0666666667,0.140921444794,0.334292451206,7,7,2.32454137888,0.00205085364306,98.7393716197
15.1,0.14094811142,0.334198717021,7,7,2.33110784779,0.00205085364306,98.7393716197
15.1333333333,0.141658191184,0.335492887648,7,7,2.53491683939,0.00205085364306,98.7393716197
15.1666666667,0.140335436624,0.336380046683,6,6,2.60227537452,0.00205085364306,98.7393716197
15.2,0.139716011996,0.336218018992,6,6,2.41798324795,0.00205085364306,98.7393716197
15.2333333333,0.139737312154,0.336171455151,6,6,2.41582947934,0.00205085364306,98.7393716197
15.2666666667,0.141202272365,0.335053806173,7,7,2.38502526451,0.00205085364306,98.7393716197
15.3,0.14119570785,0.335059912707,7,7,2.38009578911,0.00205085364306,98.7393716197
15.3333333333,0.141174991186,0.334915308118,7,7,2.36738954246,0.00205085364306,98.7393716197
15.3666666667,0.141118020483,0.334723168955,7,7,2.34101610832,0.00205085364306,98.7393716197
15.4,0.14106997885,0.334796838028,7,7,2.34357630644,0.00205085364306,98.7393716197
15.4333333333,0.141343553034,0.334813896787,7,7,2.41259653447,0.00205085364306,98.7393716197
15.4666666667,0.141108154165,0.334716316425,7,7,2.34990697669,0.00205085364306,98.7393716197
15.5,0.141081703456,0.334636099383,7,7,2.35096731444,0.00205085364306,98.7393716197
15.5333333333,0.141094139986,0.334629971447,7,7,2.3398525065,0.00205085364306,98.7393716197
15.5666666667,0.141032146441,0.334552714962,7,7,2.32655503873,0.00205085364306,98.7393716197
15.6,0.140956026764,0.334437818549,7,7,2.31628902652,0.00205085364306,98.7393716197
15.6333333333,0.140021867469,0.33470957031,6,6,2.45880558095,0.00205085364306,98.7393716197
15.6666666667,0.140222491765,0.335068285822,6,6,2.49962294079,0.00205085364306,98.7393716197
15.7,0.139331319874,0.335708958063,5,5,2.61351140664,0.00205085364306,98.7393716197
15.7333333333,0.188513564157,0.427056944889,6,6,2.19903892774,0.00205085364306,98.7393716197
15.7666666667,0.139551627415,0.334519920714,5,5,2.62797333052,0.00205085364306,98.7393716197
15.8,0.13634002157,0.330891328801,6,6,2.23544811531,0.00205085364306,98.7393716197
15.8333333333,0.135278865005,0.332616363127,5,5,1.52729825856,0.00205085364306,98.7393716197
15.8666666667,0.134288983088,0.328678200322,5,5,3.28795112751,0.00205085364306,98.7393716197
15.9,0.134385806016,0.328629754075,5,5,3.32449360942,0.00205085364306,98.7393716197
15.9333333333,0.138203537255,0.331316261267,5,5,2.63744881869,0.00205085364306,98.7393716197
15.9666666667,0.141464911675,0.332304095065,6,6,2.7738234221,0.00205085364306,98.7393716197
16,0.141374169396,0.332261416569,6,6,2.74287466891,0.00205085364306,98.7393716197
16.0333333333,0.133330640794,0.334754214662,5,5,0.840113151002,0.00205085364306,98.7393716197
16.0666666667,0.184386013468,0.422943773279,4,4,0.563931121427,0.00205085364306,98.7393716197
16.1,0.184288853838,0.423019956797,4,4,0.508637339649,0.00205085364306,98.7393716197
16.1333333333,0.131650211559,0.335007475411,4,4,0.773484493255,0.00205085364306,98.7393716197
16.1666666667,-0.192087272745,0.497259421677,5,5,1.65623436859,0.00205085364306,98.7393716197
16.2,-0.192147126642,0.49797245881,5,5,1.56218515627,0.00205085364306,98.7393716197
16.2333333333,-0.192070424086,0.497149432081,5,5,1.62000440845,0.00205085364306,98.7393716197
16.2666666667,-0.192074937386,0.49721294115,5,5,1.62789885258,0.00205085364306,98.7393716197
16.3,-0.188452479064,0.493441173534,4,4,0.548765526603,0.00205085364306,98.7393716197
16.3333333333,-0.187175007946,0.492679934738,4,4,0.635392793043,0.00205085364306,98.7393716197
16.3666666667,0.22877589261,0.426289318514,4,4,10.6808843172,0.00205085364306,98.7393716197
16.4,0.243513736943,0.418559304184,5,5,7.09264404649,0.00205085364306,98.7393716197
